gene_id	external_gene_name	entrezgene
ENSG00000143379	SETDB1	9869
ENSG00000213614	HEXA	3073
ENSG00000127328	RAB3IP	117177
ENSG00000116906	GNPAT	8443
ENSG00000143641	GALNT2	2590
ENSG00000080603	SRCAP	10847
ENSG00000115159	GPD2	2820
ENSG00000038382	TRIO	7204
ENSG00000026103	FAS	355
ENSG00000128059	PPAT	5471
ENSG00000144677	CTDSPL	10217
ENSG00000132622	HSPA12B	116835
ENSG00000167646	DNAAF3	352909
ENSG00000143126	CELSR2	1952
ENSG00000117620	SLC35A3	23443
ENSG00000164091	WDR82	80335
ENSG00000018610	CXorf56	63932
ENSG00000181090	EHMT1	79813
ENSG00000257335	MGAM	8972
ENSG00000073050	XRCC1	7515
ENSG00000230254	HLA-E	3133
ENSG00000119707	RBM25	58517
ENSG00000155760	FZD7	8324
ENSG00000124155	PIGT	51604
ENSG00000253719	ATXN7L3B	552889
ENSG00000132698	RAB25	57111
ENSG00000071246	VASH1	22846
ENSG00000145390	USP53	54532
ENSG00000109016	DHRS7B	25979
ENSG00000130723	PRRC2B	84726
ENSG00000130695	CEP85	64793
ENSG00000110756	HPS5	11234
ENSG00000116237	ICMT	23463
ENSG00000134686	PHC2	1912
ENSG00000262246	CORO7	79585
ENSG00000107960	STN1	79991
ENSG00000111832	RWDD1	51389
ENSG00000126858	RHOT1	55288
ENSG00000142675	CNKSR1	10256
ENSG00000118873	RAB3GAP2	25782
ENSG00000143373	ZNF687	57592
ENSG00000247596	TWF2	11344
ENSG00000071626	DAZAP1	26528
ENSG00000138172	CALHM2	51063
ENSG00000143398	PIP5K1A	8394
ENSG00000155393	HEATR3	55027
ENSG00000255526	NEDD8-MDP1	100528064
ENSG00000161381	PLXDC1	57125
ENSG00000240230	COX19	90639
ENSG00000090989	EXOC1	55763
ENSG00000122958	VPS26A	9559
ENSG00000145919	BOD1	91272
ENSG00000182749	PAQR7	164091
ENSG00000205084	TMEM231	79583
ENSG00000166033	HTRA1	5654
ENSG00000148835	TAF5	6877
ENSG00000084674	APOB	338
ENSG00000185442	FAM174B	400451
ENSG00000124151	NCOA3	8202
ENSG00000186010	NDUFA13	51079
ENSG00000082153	BZW1	9689
ENSG00000171861	MRM3	55178
ENSG00000115325	DOK1	1796
ENSG00000182481	KPNA2	3838
ENSG00000076356	PLXNA2	5362
ENSG00000167699	GLOD4	51031
ENSG00000062038	CDH3	1001
ENSG00000148450	MSRB2	22921
ENSG00000072803	FBXW11	23291
ENSG00000162227	TAF6L	10629
ENSG00000151413	NUBPL	80224
ENSG00000189221	MAOA	4128
ENSG00000157625	TAB3	257397
ENSG00000189377	CXCL17	284340
ENSG00000285089	VARS2	57176
ENSG00000285192	VARS2	57176
ENSG00000162613	FUBP1	8880
ENSG00000132676	DAP3	7818
ENSG00000089094	KDM2B	84678
ENSG00000130939	UBE4B	10277
ENSG00000162444	RBP7	116362
ENSG00000140105	WARS	7453
ENSG00000169241	SLC50A1	55974
ENSG00000100600	LGMN	5641
ENSG00000173614	NMNAT1	64802
ENSG00000122971	ACADS	35
ENSG00000165934	CPSF2	53981
ENSG00000183648	NDUFB1	4707
ENSG00000135097	MSI1	4440
ENSG00000103196	CRISPLD2	83716
ENSG00000160685	ZBTB7B	51043
ENSG00000196405	EVL	51466
ENSG00000162851	TFB2M	64216
ENSG00000204227	RING1	6015
ENSG00000162458	FBLIM1	54751
ENSG00000121644	DESI2	51029
ENSG00000089818	NECAP1	25977
ENSG00000160714	UBE2Q1	55585
ENSG00000187097	ENTPD5	957
ENSG00000061936	SFSWAP	6433
ENSG00000124574	ABCC10	89845
ENSG00000171603	CLSTN1	22883
ENSG00000181751	C5orf30	90355
ENSG00000072121	ZFYVE26	23503
ENSG00000074842	MYDGF	56005
ENSG00000168710	AHCYL1	10768
ENSG00000121410	A1BG	1
ENSG00000170468	RIOX1	79697
ENSG00000092820	EZR	7430
ENSG00000278540	ACACA	31
ENSG00000177954	RPS27	6232
ENSG00000204673	AKT1S1	84335
ENSG00000274811	CLPTM1L	81037
ENSG00000097021	ACOT7	11332
ENSG00000196576	PLXNB2	23654
ENSG00000039650	PNKP	11284
ENSG00000145604	SKP2	6502
ENSG00000172380	GNG12	55970
ENSG00000116729	WLS	79971
ENSG00000169826	CSGALNACT2	55454
ENSG00000239927	RPP21	79897
ENSG00000239927	RPP21	202658
ENSG00000167491	GATAD2A	54815
ENSG00000173020	GRK2	156
ENSG00000128891	CCDC32	90416
ENSG00000129480	DTD2	112487
ENSG00000196230	TUBB	203068
ENSG00000059758	CDK17	5128
ENSG00000115241	PPM1G	5496
ENSG00000182810	DDX28	55794
ENSG00000118308	LRMP	4033
ENSG00000089177	KIF16B	55614
ENSG00000115109	EPB41L5	57669
ENSG00000170892	TSEN34	79042
ENSG00000171747	LGALS4	3960
ENSG00000171401	KRT13	3860
ENSG00000136280	CCM2	83605
ENSG00000235773	NRM	11270
ENSG00000174444	RPL4	6124
ENSG00000082701	GSK3B	2932
ENSG00000101825	MXRA5	25878
ENSG00000178202	KDELC2	143888
ENSG00000196141	SPATS2L	26010
ENSG00000196743	GM2A	2760
ENSG00000138032	PPM1B	5495
ENSG00000197381	ADARB1	104
ENSG00000067208	EVI5	7813
ENSG00000164649	CDCA7L	55536
ENSG00000215041	NEURL4	84461
ENSG00000187764	SEMA4D	10507
ENSG00000105887	MTPN	136319
ENSG00000057704	TMCC3	57458
ENSG00000175550	DRAP1	10589
ENSG00000140153	WDR20	91833
ENSG00000179526	SHARPIN	81858
ENSG00000166908	PIP4K2C	79837
ENSG00000157765	SLC34A2	10568
ENSG00000112739	PRPF4B	8899
ENSG00000134262	AP4B1	10717
ENSG00000120159	CAAP1	79886
ENSG00000213445	SIPA1	6494
ENSG00000142208	AKT1	207
ENSG00000005206	SPPL2B	56928
ENSG00000198700	IPO9	55705
ENSG00000167757	KLK11	11012
ENSG00000223980	HLA-A	3105
ENSG00000010256	UQCRC1	7384
ENSG00000167881	SRP68	6730
ENSG00000206379	FLOT1	10211
ENSG00000225589	MDC1	9656
ENSG00000163389	POGLUT1	56983
ENSG00000090372	STRN4	29888
ENSG00000123472	ATPAF1	64756
ENSG00000236843	NRM	11270
ENSG00000244414	CFHR1	3078
ENSG00000188620	HMX3	340784
ENSG00000000971	CFH	3075
ENSG00000104129	DNAJC17	55192
ENSG00000178567	EPM2AIP1	9852
ENSG00000169375	SIN3A	25942
ENSG00000113645	WWC1	23286
ENSG00000099953	MMP11	4320
ENSG00000172340	SUCLG2	8801
ENSG00000141756	FKBP10	60681
ENSG00000101310	SEC23B	10483
ENSG00000005187	ACSM3	6296
ENSG00000163820	FYCO1	79443
ENSG00000100813	ACIN1	22985
ENSG00000132792	CTNNBL1	56259
ENSG00000173889	PHC3	80012
ENSG00000066422	ZBTB11	27107
ENSG00000147164	SNX12	29934
ENSG00000111341	MGP	4256
ENSG00000139645	ANKRD52	283373
ENSG00000130227	XPO7	23039
ENSG00000150593	PDCD4	27250
ENSG00000136152	COG3	83548
ENSG00000130414	NDUFA10	4705
ENSG00000109452	INPP4B	8821
ENSG00000173226	IQCB1	9657
ENSG00000185009	AP3M1	26985
ENSG00000235220	HLA-F	3134
ENSG00000243955	GSTA1	2938
ENSG00000093009	CDC45	8318
ENSG00000110274	CEP164	22897
ENSG00000278519	MBOAT7	79143
ENSG00000275165	TSEN34	79042
ENSG00000197930	ERO1A	30001
ENSG00000070718	AP3M2	10947
ENSG00000091164	TXNL1	9352
ENSG00000182985	CADM1	23705
ENSG00000167601	AXL	558
ENSG00000119471	HSDL2	84263
ENSG00000067225	PKM	5315
ENSG00000168916	ZNF608	57507
ENSG00000130340	SNX9	51429
ENSG00000160818	GPATCH4	54865
ENSG00000143556	S100A7	6278
ENSG00000100216	TOMM22	56993
ENSG00000143546	S100A8	6279
ENSG00000076248	UNG	7374
ENSG00000117362	APH1A	51107
ENSG00000119314	PTBP3	9991
ENSG00000114120	SLC25A36	55186
ENSG00000089280	FUS	2521
ENSG00000118689	FOXO3	2309
ENSG00000105127	AKAP8	10270
ENSG00000151240	DIP2C	22982
ENSG00000124466	LYPD3	27076
ENSG00000106344	RBM28	55131
ENSG00000183696	UPP1	7378
ENSG00000205517	RGL3	57139
ENSG00000139178	C1RL	51279
ENSG00000203814	HIST2H2BF	440689
ENSG00000110446	SLC15A3	51296
ENSG00000198951	NAGA	4668
ENSG00000104889	RNASEH2A	10535
ENSG00000120727	PAIP2	51247
ENSG00000143393	PI4KB	5298
ENSG00000157514	TSC22D3	1831
ENSG00000135905	DOCK10	55619
ENSG00000109736	MFSD10	10227
ENSG00000124587	PEX6	5190
ENSG00000162627	SNX7	51375
ENSG00000146540	C7orf50	84310
ENSG00000132434	LANCL2	55915
ENSG00000100911	PSME2	5721
ENSG00000078618	NRDC	4898
ENSG00000117000	RLF	6018
ENSG00000113719	ERGIC1	57222
ENSG00000100941	PNN	5411
ENSG00000107789	MINPP1	9562
ENSG00000205323	SARNP	84324
ENSG00000136527	TRA2B	6434
ENSG00000232143	GNL1	2794
ENSG00000124562	SNRPC	6631
ENSG00000075213	SEMA3A	10371
ENSG00000135404	CD63	967
ENSG00000108106	UBE2S	27338
ENSG00000107731	UNC5B	219699
ENSG00000174606	ANGEL2	90806
ENSG00000166228	PCBD1	5092
ENSG00000102316	MAGED2	10916
ENSG00000117697	NSL1	25936
ENSG00000089639	GMIP	51291
ENSG00000149658	YTHDF1	54915
ENSG00000177302	TOP3A	7156
ENSG00000206435	HLA-C	3107
ENSG00000135655	USP15	9958
ENSG00000130119	GNL3L	54552
ENSG00000168569	TMEM223	79064
ENSG00000237344	PBX2	5089
ENSG00000166426	CRABP1	1381
ENSG00000161847	RAVER1	125950
ENSG00000099991	CABIN1	23523
ENSG00000135930	EIF4E2	9470
ENSG00000138668	HNRNPD	3184
ENSG00000232616	SKIV2L	6499
ENSG00000099399	MAGEB2	4113
ENSG00000124839	RAB17	64284
ENSG00000277972	CISD3	284106
ENSG00000067334	DNTTIP2	30836
ENSG00000198561	CTNND1	1500
ENSG00000198561	CTNND1	100528016
ENSG00000278149	RDH13	112724
ENSG00000285213	VARS2	57176
ENSG00000039319	ZFYVE16	9765
ENSG00000225824	HLA-DQB1	3119
ENSG00000066294	CD84	8832
ENSG00000184967	NOC4L	79050
ENSG00000131187	F12	2161
ENSG00000055483	USP36	57602
ENSG00000152409	JMY	133746
ENSG00000254685	FPGT	8790
ENSG00000113119	TMCO6	55374
ENSG00000163661	PTX3	5806
ENSG00000018625	ATP1A2	477
ENSG00000185414	MRPL30	51263
ENSG00000135541	AHI1	54806
ENSG00000139436	GIT2	9815
ENSG00000152904	GGPS1	9453
ENSG00000081760	AACS	65985
ENSG00000120438	TCP1	6950
ENSG00000136238	RAC1	5879
ENSG00000114867	EIF4G1	1981
ENSG00000010165	METTL13	51603
ENSG00000066855	MTFR1	9650
ENSG00000117533	VAMP4	8674
ENSG00000105341	DMAC2	55101
ENSG00000223666	FKBPL	63943
ENSG00000167515	TRAPPC2L	51693
ENSG00000137692	DCUN1D5	84259
ENSG00000048162	NOP16	51491
ENSG00000197312	DDI2	84301
ENSG00000197956	S100A6	6277
ENSG00000118257	NRP2	8828
ENSG00000164105	SAP30	8819
ENSG00000083799	CYLD	1540
ENSG00000189046	ALKBH2	121642
ENSG00000126759	CFP	5199
ENSG00000163207	IVL	3713
ENSG00000122203	KIAA1191	57179
ENSG00000151292	CSNK1G3	1456
ENSG00000089248	ERP29	10961
ENSG00000163191	S100A11	6282
ENSG00000143179	UCK2	7371
ENSG00000164985	PSIP1	11168
ENSG00000054965	FAM168A	23201
ENSG00000141338	ABCA8	10351
ENSG00000183160	TMEM119	338773
ENSG00000198715	GLMP	112770
ENSG00000176714	CCDC121	79635
ENSG00000171115	GIMAP8	155038
ENSG00000243943	ZNF512	84450
ENSG00000119414	PPP6C	5537
ENSG00000094841	UPRT	139596
ENSG00000139722	VPS37B	79720
ENSG00000130479	MAP1S	55201
ENSG00000121964	GTDC1	79712
ENSG00000141985	SH3GL1	6455
ENSG00000083168	KAT6A	7994
ENSG00000143436	MRPL9	65005
ENSG00000143228	NUF2	83540
ENSG00000198833	UBE2J1	51465
ENSG00000117676	RPS6KA1	6195
ENSG00000169057	MECP2	4204
ENSG00000089234	BRAP	8315
ENSG00000031698	SARS	6301
ENSG00000118298	CA14	23632
ENSG00000033170	FUT8	2530
ENSG00000168003	SLC3A2	6520
ENSG00000136003	ISCU	23479
ENSG00000179144	GIMAP7	168537
ENSG00000112339	HBS1L	10767
ENSG00000166888	STAT6	6778
ENSG00000204385	SLC44A4	80736
ENSG00000123384	LRP1	4035
ENSG00000166886	NAB2	4665
ENSG00000169242	EFNA1	1942
ENSG00000149547	EI24	9538
ENSG00000066455	GOLGA5	9950
ENSG00000108666	C17orf75	64149
ENSG00000127054	INTS11	54973
ENSG00000176915	ANKLE2	23141
ENSG00000176894	PXMP2	5827
ENSG00000275896	PRSS2	5645
ENSG00000165029	ABCA1	19
ENSG00000162704	ARPC5	10092
ENSG00000258947	TUBB3	10381
ENSG00000105053	VRK3	51231
ENSG00000167588	GPD1	2819
ENSG00000135821	GLUL	2752
ENSG00000158195	WASF2	10163
ENSG00000158710	TAGLN2	8407
ENSG00000172469	MANEA	79694
ENSG00000115514	TXNDC9	10190
ENSG00000087206	UIMC1	51720
ENSG00000067066	SP100	6672
ENSG00000163563	MNDA	4332
ENSG00000186908	ZDHHC17	23390
ENSG00000135870	RC3H1	149041
ENSG00000090273	NUDC	10726
ENSG00000008256	CYTH3	9265
ENSG00000175793	SFN	2810
ENSG00000131174	COX7B	1349
ENSG00000204217	BMPR2	659
ENSG00000116132	PRRX1	5396
ENSG00000243678	NME2	4831
ENSG00000143554	SLC27A3	11000
ENSG00000122435	TRMT13	54482
ENSG00000225989	ABCF1	23
ENSG00000172785	CBWD1	55871
ENSG00000164402	SEPT8	23176
ENSG00000111319	SCNN1A	6337
ENSG00000197386	HTT	3064
ENSG00000236221	TNXB	7148
ENSG00000234068	PAGE2	203569
ENSG00000105854	PON2	5445
ENSG00000162733	DDR2	4921
ENSG00000117143	UAP1	6675
ENSG00000163050	COQ8A	56997
ENSG00000160785	SLC25A44	9673
ENSG00000167549	CORO6	84940
ENSG00000005022	SLC25A5	292
ENSG00000186834	HEXIM1	10614
ENSG00000280706	REXO4	57109
ENSG00000278284	RDH13	112724
ENSG00000125459	MSTO1	55154
ENSG00000134987	WDR36	134430
ENSG00000062822	POLD1	5424
ENSG00000135114	OASL	8638
ENSG00000065361	ERBB3	2065
ENSG00000142534	RPS11	6205
ENSG00000135018	UBQLN1	29979
ENSG00000123374	CDK2	1017
ENSG00000100632	ERH	2079
ENSG00000197119	SLC25A29	123096
ENSG00000143222	UFC1	51506
ENSG00000204389	HSPA1A	3303
ENSG00000143341	HMCN1	83872
ENSG00000197045	GMFB	2764
ENSG00000103018	CYB5B	80777
ENSG00000122218	COPA	1314
ENSG00000091483	FH	2271
ENSG00000135090	TAOK3	51347
ENSG00000230124	ACBD6	84320
ENSG00000230124	ACBD6	100527964
ENSG00000198722	UNC13B	10497
ENSG00000132423	COQ3	51805
ENSG00000162734	PEA15	8682
ENSG00000132341	RAN	5901
ENSG00000232005	PBX2	5089
ENSG00000164535	DAGLB	221955
ENSG00000101162	TUBB1	81027
ENSG00000198586	TLK1	9874
ENSG00000162706	CADM3	57863
ENSG00000142784	WDTC1	23038
ENSG00000116754	SRSF11	9295
ENSG00000059588	TARBP1	6894
ENSG00000184992	BRI3BP	140707
ENSG00000175336	APOF	319
ENSG00000116161	CACYBP	27101
ENSG00000163554	SPTA1	6708
ENSG00000203623	C6orf47	57827
ENSG00000175166	PSMD2	5708
ENSG00000117592	PRDX6	9588
ENSG00000073712	FERMT2	10979
ENSG00000185404	SP140L	93349
ENSG00000127540	UQCR11	10975
ENSG00000073754	CD5L	922
ENSG00000156709	AIFM1	9131
ENSG00000082258	CCNT2	905
ENSG00000213064	SFT2D2	375035
ENSG00000274523	RCC1L	81554
ENSG00000116604	MEF2D	4209
ENSG00000198842	DUSP27	92235
ENSG00000111300	NAA25	80018
ENSG00000198824	CHAMP1	283489
ENSG00000111275	ALDH2	217
ENSG00000102580	DNAJC3	5611
ENSG00000146281	PM20D2	135293
ENSG00000164344	KLKB1	3818
ENSG00000130755	GMFG	9535
ENSG00000130787	HIP1R	9026
ENSG00000126653	NSRP1	84081
ENSG00000182134	TDRKH	11022
ENSG00000198522	GPN1	11321
ENSG00000136861	CDK5RAP2	55755
ENSG00000197070	ARRDC1	92714
ENSG00000111880	RNGTT	8732
ENSG00000132965	ALOX5AP	241
ENSG00000081721	DUSP12	11266
ENSG00000134873	CLDN10	9071
ENSG00000111615	KRR1	11103
ENSG00000125952	MAX	4149
ENSG00000136950	ARPC5L	81873
ENSG00000010278	CD9	928
ENSG00000110107	PRPF19	27339
ENSG00000131269	ABCB7	22
ENSG00000112742	TTK	7272
ENSG00000178035	IMPDH2	3615
ENSG00000079999	KEAP1	9817
ENSG00000132773	TOE1	114034
ENSG00000129515	SNX6	58533
ENSG00000100714	MTHFD1	4522
ENSG00000129518	EAPP	55837
ENSG00000166741	NNMT	4837
ENSG00000011376	LARS2	23395
ENSG00000229684	TUBB	203068
ENSG00000138138	ATAD1	84896
ENSG00000167985	SDHAF2	54949
ENSG00000006740	ARHGAP44	9912
ENSG00000106605	BLVRA	644
ENSG00000124659	TBCC	6903
ENSG00000105514	RAB3D	9545
ENSG00000272886	DCP1A	55802
ENSG00000182578	CSF1R	1436
ENSG00000162244	RPL29	6159
ENSG00000105255	FSD1	79187
ENSG00000197948	FCHSD1	89848
ENSG00000130304	SLC27A1	376497
ENSG00000104231	ZFAND1	79752
ENSG00000158006	PAFAH2	5051
ENSG00000187720	THSD4	79875
ENSG00000213079	SCAF8	22828
ENSG00000137815	RTF1	23168
ENSG00000188820	CALHM6	441168
ENSG00000138759	FRAS1	80144
ENSG00000166166	TRMT61A	115708
ENSG00000164151	ICE1	23379
ENSG00000068097	HEATR6	63897
ENSG00000112299	VNN1	8876
ENSG00000236632	HLA-E	3133
ENSG00000050767	COL23A1	91522
ENSG00000117691	NENF	29937
ENSG00000111816	FRK	2444
ENSG00000104825	NFKBIB	4793
ENSG00000147475	ERLIN2	11160
ENSG00000163931	TKT	7086
ENSG00000280951	SURF4	6836
ENSG00000129932	DOHH	83475
ENSG00000111775	COX6A1	1337
ENSG00000090615	GOLGA3	2802
ENSG00000143256	PFDN2	5202
ENSG00000120314	WDR55	54853
ENSG00000186517	ARHGAP30	257106
ENSG00000181019	NQO1	1728
ENSG00000116641	DOCK7	85440
ENSG00000105409	ATP1A3	478
ENSG00000117020	AKT3	10000
ENSG00000162738	VANGL2	57216
ENSG00000072110	ACTN1	87
ENSG00000113141	IK	3550
ENSG00000113282	CLINT1	9685
ENSG00000110244	APOA4	337
ENSG00000088992	TESC	54997
ENSG00000164597	COG5	10466
ENSG00000105063	PPP6R1	22870
ENSG00000085224	ATRX	546
ENSG00000143457	GOLPH3L	55204
ENSG00000106355	LSM5	23658
ENSG00000137776	SLTM	79811
ENSG00000000457	SCYL3	57147
ENSG00000198755	RPL10A	4736
ENSG00000136059	VILL	50853
ENSG00000177426	TGIF1	7050
ENSG00000172269	DPAGT1	1798
ENSG00000126457	PRMT1	3276
ENSG00000115221	ITGB6	3694
ENSG00000068724	TTC7A	57217
ENSG00000009830	POMT2	29954
ENSG00000105676	ARMC6	93436
ENSG00000101384	JAG1	182
ENSG00000274780	PHRF1	57661
ENSG00000078114	NEBL	10529
ENSG00000091527	CDV3	55573
ENSG00000126001	CEP250	11190
ENSG00000095319	NUP188	23511
ENSG00000118096	IFT46	56912
ENSG00000134248	LAMTOR5	10542
ENSG00000146834	MEPCE	56257
ENSG00000276907	ARHGAP27	201176
ENSG00000134440	NARS	4677
ENSG00000128815	WDFY4	57705
ENSG00000146802	TMEM168	64418
ENSG00000137313	TRIM26	7726
ENSG00000175662	TOM1L2	146691
ENSG00000173812	EIF1	10209
ENSG00000109089	CDR2L	30850
ENSG00000142507	PSMB6	5694
ENSG00000131941	RHPN2	85415
ENSG00000125652	ALKBH7	84266
ENSG00000148908	RGS10	6001
ENSG00000176148	TCP11L1	55346
ENSG00000011426	ANLN	54443
ENSG00000127837	AAMP	14
ENSG00000136504	KAT7	11143
ENSG00000165526	RPUSD4	84881
ENSG00000167716	WDR81	124997
ENSG00000221974	GTF2H4	2968
ENSG00000198862	LTN1	26046
ENSG00000160695	VPS11	55823
ENSG00000182934	SRPRA	6734
ENSG00000153107	ANAPC1	64682
ENSG00000185532	PRKG1	5592
ENSG00000197170	PSMD12	5718
ENSG00000275990	NCF4	4689
ENSG00000137767	SQOR	58472
ENSG00000133110	POSTN	10631
ENSG00000105186	ANKRD27	84079
ENSG00000106459	NRF1	4899
ENSG00000104413	ESRP1	54845
ENSG00000184164	CRELD2	79174
ENSG00000117115	PADI2	11240
ENSG00000155962	CLIC2	1193
ENSG00000168040	FADD	8772
ENSG00000114480	GBE1	2632
ENSG00000136874	STX17	55014
ENSG00000117118	SDHB	6390
ENSG00000005020	SKAP2	8935
ENSG00000140443	IGF1R	3480
ENSG00000135040	NAA35	60560
ENSG00000163902	RPN1	6184
ENSG00000128833	MYO5C	55930
ENSG00000113569	NUP155	9631
ENSG00000102910	LONP2	83752
ENSG00000116288	PARK7	11315
ENSG00000144455	SUMF1	285362
ENSG00000151461	UPF2	26019
ENSG00000231543	C2	717
ENSG00000183605	SFXN4	119559
ENSG00000119446	RBM18	92400
ENSG00000231825	PRRC2A	7916
ENSG00000129116	PALLD	23022
ENSG00000167904	TMEM68	137695
ENSG00000099992	TBC1D10A	83874
ENSG00000168092	PAFAH1B2	5049
ENSG00000198265	HELZ	9931
ENSG00000146386	ABRACL	58527
ENSG00000131149	GSE1	23199
ENSG00000163463	KRTCAP2	200185
ENSG00000161618	ALDH16A1	126133
ENSG00000112893	MAN2A1	4124
ENSG00000160688	FLAD1	80308
ENSG00000153207	AHCTF1	25909
ENSG00000089154	GCN1	10985
ENSG00000065526	SPEN	23013
ENSG00000081177	EXD2	55218
ENSG00000198055	GRK6	2870
ENSG00000135837	CEP350	9857
ENSG00000090061	CCNK	8812
ENSG00000076513	ANKRD13A	88455
ENSG00000129562	DAD1	1603
ENSG00000197694	SPTAN1	6709
ENSG00000118762	PKD2	5311
ENSG00000110711	AIP	9049
ENSG00000168066	SF1	7536
ENSG00000079387	SENP1	29843
ENSG00000117593	DARS2	55157
ENSG00000152583	SPARCL1	8404
ENSG00000115806	GORASP2	26003
ENSG00000169727	GPS1	2873
ENSG00000156299	TIAM1	7074
ENSG00000071073	MGAT4A	11320
ENSG00000278682	NLRP2	55655
ENSG00000185499	MUC1	4582
ENSG00000197728	RPS26	6231
ENSG00000164209	SLC25A46	91137
ENSG00000110871	COQ5	84274
ENSG00000237403	PPP1R11	6992
ENSG00000197442	MAP3K5	4217
ENSG00000247077	PGAM5	192111
ENSG00000100239	PPP6R2	9701
ENSG00000135829	DHX9	1660
ENSG00000129315	CCNT1	904
ENSG00000204394	VARS	7407
ENSG00000114942	EEF1B2	1933
ENSG00000152137	HSPB8	26353
ENSG00000132768	DPH2	1802
ENSG00000111445	RFC5	5985
ENSG00000169067	ACTBL2	345651
ENSG00000143363	PRUNE1	58497
ENSG00000185946	RNPC3	55599
