Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
CUSTOM2860842091208	KEGG_BLADDER_CANCER	2/42	0.036856668824736115	0.18837852954865125	MMP2;THBS1
CUSTOM2860842091208	KEGG_CALCIUM_SIGNALING_PATHWAY	1/178	0.7292811255816126	0.7930936374614369	MYLK
CUSTOM2860842091208	KEGG_CARDIAC_MUSCLE_CONTRACTION	2/80	0.11385323089254322	0.2814723642828815	TPM2;TPM1
CUSTOM2860842091208	KEGG_CELL_ADHESION_MOLECULES_CAMS	1/134	0.6250874549554072	0.7129096593706297	VCAN
CUSTOM2860842091208	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	2/69	0.08881584128417634	0.2730488124794518	C1R;C1S
CUSTOM2860842091208	KEGG_DILATED_CARDIOMYOPATHY	2/92	0.1429402344343638	0.3233729893761017	TPM2;TPM1
CUSTOM2860842091208	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	2/72	0.09546519259674892	0.27446242871565313	ALDH1A3;ADH1B
CUSTOM2860842091208	KEGG_ECM_RECEPTOR_INTERACTION	8/84	1.329969070313151e-07	6.117857723440494e-06	FN1;TNC;COL5A1;THBS2;THBS1;CD36;COL5A2;COL11A1
CUSTOM2860842091208	KEGG_FATTY_ACID_METABOLISM	1/42	0.26346822309110773	0.44585152786670507	ADH1B
CUSTOM2860842091208	KEGG_FOCAL_ADHESION	9/201	1.2358040091285395e-05	0.0002842349220995641	FN1;TNC;MYL9;COL5A1;THBS2;THBS1;MYLK;COL5A2;COL11A1
CUSTOM2860842091208	KEGG_GAP_JUNCTION	1/90	0.4816888251266648	0.603570083718808	PRKG1
CUSTOM2860842091208	KEGG_GLUTATHIONE_METABOLISM	1/50	0.30526533688341606	0.4842139826426599	ANPEP
CUSTOM2860842091208	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1/31	0.20193351301736012	0.3722959986289454	AOC3
CUSTOM2860842091208	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	2/62	0.07389392604567456	0.2730488124794518	ALDH1A3;ADH1B
CUSTOM2860842091208	KEGG_GNRH_SIGNALING_PATHWAY	1/101	0.5219257222664285	0.6263108667197143	MMP2
CUSTOM2860842091208	KEGG_HEMATOPOIETIC_CELL_LINEAGE	2/88	0.13306891795322193	0.30605851129241046	ANPEP;CD36
CUSTOM2860842091208	KEGG_HISTIDINE_METABOLISM	1/29	0.1902143496674391	0.3649702814450442	ALDH1A3
CUSTOM2860842091208	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	2/85	0.12577576866595905	0.29925958751555776	TPM2;TPM1
CUSTOM2860842091208	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	3/118	0.05358522430783469	0.23553620422712998	MMP2;CYBB;MYL9
CUSTOM2860842091208	KEGG_LONG_TERM_DEPRESSION	1/70	0.39982051328406976	0.5650072316049632	PRKG1
CUSTOM2860842091208	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	2/70	0.09101627082648392	0.2730488124794518	ALDH1A3;ADH1B
CUSTOM2860842091208	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	2/24	0.012835882449766387	0.09840843211487564	NT5E;NNMT
CUSTOM2860842091208	KEGG_OLFACTORY_TRANSDUCTION	1/389	0.9445763359888372	0.9445763359888372	PRKG1
CUSTOM2860842091208	KEGG_P53_SIGNALING_PATHWAY	1/69	0.39540902411528284	0.5650072316049632	THBS1
CUSTOM2860842091208	KEGG_PATHWAYS_IN_CANCER	2/328	0.6928940561739475	0.7711240302581028	MMP2;FN1
CUSTOM2860842091208	KEGG_PHENYLALANINE_METABOLISM	2/18	0.007316191757033532	0.0673089641647085	ALDH1A3;AOC3
CUSTOM2860842091208	KEGG_PPAR_SIGNALING_PATHWAY	2/69	0.08881584128417634	0.2730488124794518	CD36;FABP4
CUSTOM2860842091208	KEGG_PURINE_METABOLISM	1/159	0.688344218000257	0.7711240302581028	NT5E
CUSTOM2860842091208	KEGG_PYRIMIDINE_METABOLISM	1/98	0.5112672905091761	0.6243795229227106	NT5E
CUSTOM2860842091208	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	3/216	0.2052563210245003	0.3722959986289454	FN1;MYLK;MYL9
CUSTOM2860842091208	KEGG_RENIN_ANGIOTENSIN_SYSTEM	1/17	0.11626032437771193	0.2814723642828815	ANPEP
CUSTOM2860842091208	KEGG_RETINOL_METABOLISM	1/64	0.37286866690435405	0.5593030003565311	ADH1B
CUSTOM2860842091208	KEGG_SMALL_CELL_LUNG_CANCER	1/84	0.4583561355325868	0.5856772842916387	FN1
CUSTOM2860842091208	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	2/140	0.2691115679416115	0.44743851055352274	C1R;C1S
CUSTOM2860842091208	KEGG_TGF_BETA_SIGNALING_PATHWAY	3/86	0.024136274955693027	0.14481764973415817	DCN;THBS2;THBS1
CUSTOM2860842091208	KEGG_TIGHT_JUNCTION	1/134	0.6250874549554072	0.7129096593706297	MYL9
CUSTOM2860842091208	KEGG_TYROSINE_METABOLISM	3/42	0.003387383071441768	0.03338991884706886	ALDH1A3;ADH1B;AOC3
CUSTOM2860842091208	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	5/115	0.0014024759042983895	0.017594697708470705	MYL9;PRKG1;MYLK;ACTG2;CALD1
CUSTOM2860842091208	REACTOME_ADAPTIVE_IMMUNE_SYSTEM	3/539	0.7576471381124841	0.7930936374614369	PRKG1;CD36;CYBB
CUSTOM2860842091208	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	1/27	0.17832595874238205	0.3515568900921246	CDH11
CUSTOM2860842091208	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	2/76	0.10454592349041815	0.2814723642828815	CD36;CYBB
CUSTOM2860842091208	REACTOME_AXON_GUIDANCE	3/251	0.27280779591827403	0.44818423615145014	COL5A2;COL5A1;MYL9
CUSTOM2860842091208	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	2/25	0.013887648711448628	0.10086818537789004	DCN;VCAN
CUSTOM2860842091208	REACTOME_BIOLOGICAL_OXIDATIONS	3/139	0.0791805983937506	0.2730488124794518	NNMT;ADH1B;PTGIS
CUSTOM2860842091208	REACTOME_CELL_CELL_COMMUNICATION	1/120	0.584312771382765	0.6833488343289964	CDH11
CUSTOM2860842091208	REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	1/56	0.3350735367224349	0.5137794229744002	CDH11
CUSTOM2860842091208	REACTOME_CELL_JUNCTION_ORGANIZATION	1/78	0.43399106195743553	0.5650072316049632	CDH11
CUSTOM2860842091208	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	1/91	0.4854802847303456	0.603570083718808	FN1
CUSTOM2860842091208	REACTOME_CGMP_EFFECTS	1/19	0.1290315661763735	0.30180264631083975	PRKG1
CUSTOM2860842091208	REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	2/21	0.009903067923417256	0.08541396083947383	DCN;VCAN
CUSTOM2860842091208	REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	2/49	0.04875422634927183	0.2320028702137763	DCN;VCAN
CUSTOM2860842091208	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	2/251	0.5465484956742338	0.6446469436157629	CD36;CYBB
CUSTOM2860842091208	REACTOME_COLLAGEN_FORMATION	5/58	5.736895940744912e-05	0.0011309880568897111	COL12A1;COL5A1;COL8A1;COL5A2;COL11A1
CUSTOM2860842091208	REACTOME_COMPLEMENT_CASCADE	1/32	0.2077303760465855	0.3722959986289454	C1S
CUSTOM2860842091208	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	1/10	0.07009354486634355	0.2686919219876503	C1S
CUSTOM2860842091208	REACTOME_CS_DS_DEGRADATION	2/12	0.0032452779792118873	0.03338991884706886	DCN;VCAN
CUSTOM2860842091208	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	1/51	0.3103230781938504	0.4866430089858109	PTGIS
CUSTOM2860842091208	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	2/29	0.018450462925217192	0.1212097982235174	MMP2;TPSAB1
CUSTOM2860842091208	REACTOME_DEVELOPMENTAL_BIOLOGY	5/396	0.15758115468761674	0.34517776741097	FABP4;MYL9;COL5A1;CD36;COL5A2
CUSTOM2860842091208	REACTOME_DIABETES_PATHWAYS	1/133	0.6223103249982619	0.7129096593706297	MMP2
CUSTOM2860842091208	REACTOME_ETHANOL_OXIDATION	1/10	0.07009354486634355	0.2686919219876503	ADH1B
CUSTOM2860842091208	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	7/87	2.715994047007601e-06	7.496143569740978e-05	COL12A1;COL5A1;TPSAB1;COL8A1;COL5A2;MMP2;COL11A1
CUSTOM2860842091208	REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	1/168	0.7084427497048899	0.7821207956741983	CD36
CUSTOM2860842091208	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	3/111	0.04612147516641363	0.22731298474875286	DCN;LUM;VCAN
CUSTOM2860842091208	REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTERGRINS_	1/15	0.10330492865842673	0.2814723642828815	FN1
CUSTOM2860842091208	REACTOME_HEMOSTASIS	4/466	0.43816125094676556	0.565105164772464	PRKG1;CD36;FN1;THBS1
CUSTOM2860842091208	REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	2/52	0.054225572382063936	0.23553620422712998	DCN;VCAN
CUSTOM2860842091208	REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	1/13	0.09016276851040096	0.2730488124794518	FABP4
CUSTOM2860842091208	REACTOME_IMMUNE_SYSTEM	4/933	0.9177864984544721	0.9244856699760376	PRKG1;CD36;CYBB;C1S
CUSTOM2860842091208	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	1/16	0.10980580806981527	0.2814723642828815	C1S
CUSTOM2860842091208	REACTOME_INNATE_IMMUNE_SYSTEM	1/279	0.8726405256097061	0.8854734745157311	C1S
CUSTOM2860842091208	REACTOME_INTEGRIN_ALPHAIIB_BETA3_SIGNALING	1/27	0.17832595874238205	0.3515568900921246	FN1
CUSTOM2860842091208	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	3/79	0.01932330116606799	0.1212097982235174	FN1;THBS1;TNC
CUSTOM2860842091208	REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	1/26	0.17231755350363887	0.3515568900921246	LUM
CUSTOM2860842091208	REACTOME_KERATAN_SULFATE_DEGRADATION	1/11	0.07683119705391345	0.2730488124794518	LUM
CUSTOM2860842091208	REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	1/30	0.19609493593768976	0.370700015882208	LUM
CUSTOM2860842091208	REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS	1/33	0.2134858181119535	0.3729245936639188	CYBB
CUSTOM2860842091208	REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	1/46	0.2846669909899634	0.4567912181001738	FABP4
CUSTOM2860842091208	REACTOME_METABOLISM_OF_CARBOHYDRATES	3/247	0.2649262701816653	0.44585152786670507	DCN;LUM;VCAN
CUSTOM2860842091208	REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	2/478	0.8683758549188094	0.8854734745157311	CD36;FABP4
CUSTOM2860842091208	REACTOME_METABOLISM_OF_NUCLEOTIDES	1/72	0.4085487195972928	0.5650072316049632	NT5E
CUSTOM2860842091208	REACTOME_MUSCLE_CONTRACTION	6/48	1.0826676341079126e-06	3.735203337672298e-05	MYL9;TPM1;MYLK;ACTG2;TPM2;CALD1
CUSTOM2860842091208	REACTOME_NCAM1_INTERACTIONS	2/39	0.03215939263596568	0.17069216091397166	COL5A1;COL5A2
CUSTOM2860842091208	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	2/64	0.0780678572248793	0.2730488124794518	COL5A1;COL5A2
CUSTOM2860842091208	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	1/25	0.16626593786697974	0.3515568900921246	PRKG1
CUSTOM2860842091208	REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	1/15	0.10330492865842673	0.2814723642828815	FN1
CUSTOM2860842091208	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	2/70	0.09101627082648392	0.2730488124794518	ADH1B;PTGIS
CUSTOM2860842091208	REACTOME_PHASE_II_CONJUGATION	1/70	0.39982051328406976	0.5650072316049632	NNMT
CUSTOM2860842091208	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	3/208	0.1904192772756752	0.3649702814450442	CD36;FN1;THBS1
CUSTOM2860842091208	REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION	1/36	0.23050651925043608	0.3976237457070022	FN1
CUSTOM2860842091208	REACTOME_PLATELET_HOMEOSTASIS	1/78	0.43399106195743553	0.5650072316049632	PRKG1
CUSTOM2860842091208	REACTOME_PPARA_ACTIVATES_GENE_EXPRESSION	1/104	0.5323554403338155	0.6333194031557461	CD36
CUSTOM2860842091208	REACTOME_PURINE_CATABOLISM	1/10	0.07009354486634355	0.2686919219876503	NT5E
CUSTOM2860842091208	REACTOME_PURINE_METABOLISM	1/33	0.2134858181119535	0.3729245936639188	NT5E
CUSTOM2860842091208	REACTOME_PYRIMIDINE_CATABOLISM	1/12	0.08352082606016845	0.2730488124794518	NT5E
CUSTOM2860842091208	REACTOME_PYRIMIDINE_METABOLISM	1/24	0.1601708063030454	0.34536830109094163	NT5E
CUSTOM2860842091208	REACTOME_RAP1_SIGNALLING	1/17	0.11626032437771193	0.2814723642828815	PRKG1
CUSTOM2860842091208	REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	1/16	0.10980580806981527	0.2814723642828815	MMP2
CUSTOM2860842091208	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	3/89	0.026380166310579965	0.14990808456420765	CD36;FN1;THBS1
CUSTOM2860842091208	REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	1/27	0.17832595874238205	0.3515568900921246	MYL9
CUSTOM2860842091208	REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	1/32	0.2077303760465855	0.3722959986289454	MYL9
CUSTOM2860842091208	REACTOME_SEMAPHORIN_INTERACTIONS	1/68	0.3909656446493964	0.5650072316049632	MYL9
CUSTOM2860842091208	REACTOME_SIGNALING_BY_PDGF	4/122	0.01155650197289134	0.0938116042505297	COL5A1;THBS2;THBS1;COL5A2
CUSTOM2860842091208	REACTOME_SMOOTH_MUSCLE_CONTRACTION	6/25	1.7776735618626125e-08	1.2265947576852026e-06	MYL9;TPM1;MYLK;ACTG2;TPM2;CALD1
CUSTOM2860842091208	REACTOME_STRIATED_MUSCLE_CONTRACTION	2/27	0.016099017251390717	0.11108321903459595	TPM2;TPM1
CUSTOM2860842091208	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	2/72	0.09546519259674892	0.27446242871565313	CD36;FABP4
